iter	Passed	Remaining
0	0	96
1	1	91
2	2	93
3	3	84
4	4	82
5	5	81
6	7	93
7	8	92
8	9	94
9	10	92
10	11	90
11	12	88
12	12	86
13	13	85
14	14	83
15	15	81
16	16	79
17	17	78
18	18	76
19	18	75
20	19	74
21	23	83
22	24	82
23	25	80
24	26	79
25	27	78
26	28	77
27	29	76
28	30	74
29	31	73
30	32	71
31	33	70
32	33	68
33	34	67
34	36	67
35	38	67
36	39	67
37	40	65
38	41	64
39	41	62
40	42	61
41	43	59
42	43	58
43	44	56
44	45	55
45	46	54
46	47	53
47	47	51
48	48	50
49	49	49
50	51	49
51	53	49
52	54	48
53	55	47
54	56	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	67	33
67	69	32
68	70	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	81	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	88	14
86	89	13
87	90	12
88	92	11
89	92	10
90	93	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
