iter	Passed	Remaining
0	133	133471
1	134	67198
2	135	45138
3	136	34107
4	138	27496
5	139	23075
6	140	19923
7	141	17587
8	142	15738
9	143	14255
10	145	13053
11	146	12042
12	147	11188
13	148	10457
14	149	9827
15	150	9282
16	152	8803
17	153	8372
18	154	7983
19	156	7647
20	157	7345
21	159	7084
22	160	6826
23	161	6584
24	163	6363
25	164	6154
26	165	5960
27	166	5777
28	167	5609
29	168	5452
30	169	5304
31	171	5181
32	172	5055
33	174	4944
34	175	4834
35	176	4722
36	177	4613
37	178	4511
38	179	4414
39	179	4319
40	180	4232
41	181	4150
42	182	4070
43	183	3994
44	184	3925
45	186	3867
46	187	3803
47	188	3746
48	190	3689
49	191	3631
50	192	3575
51	193	3519
52	193	3465
53	194	3414
54	195	3365
55	196	3318
56	197	3274
57	198	3231
58	200	3193
59	201	3159
60	202	3118
61	203	3081
62	204	3045
63	205	3011
64	206	2977
65	208	2944
66	209	2910
67	210	2879
68	210	2846
69	211	2813
70	212	2782
71	213	2755
72	215	2733
73	216	2705
74	217	2678
75	218	2651
76	219	2625
77	220	2606
78	221	2582
79	222	2559
80	223	2534
81	224	2511
82	224	2483
83	225	2461
84	226	2440
85	227	2420
86	228	2402
87	230	2385
88	231	2369
89	232	2349
90	233	2331
91	234	2313
92	235	2295
93	236	2278
94	237	2261
95	238	2243
96	239	2225
97	239	2208
98	240	2191
99	241	2174
100	242	2157
101	243	2146
102	245	2135
103	246	2125
104	247	2111
105	248	2096
106	249	2081
107	250	2067
108	251	2053
109	252	2039
110	252	2025
111	253	2012
112	254	2000
113	256	1990
114	257	1978
115	260	1983
116	261	1972
117	262	1963
118	263	1952
119	264	1941
120	265	1930
121	266	1917
122	267	1906
123	268	1895
124	269	1883
125	270	1872
126	270	1861
127	271	1851
128	272	1842
129	274	1835
130	275	1827
131	276	1818
132	277	1808
133	278	1798
134	279	1788
135	280	1778
136	280	1769
137	281	1759
138	282	1750
139	283	1741
140	284	1732
141	285	1722
142	285	1713
143	286	1705
144	287	1697
145	289	1692
146	290	1686
147	291	1678
148	292	1669
149	293	1662
150	294	1654
151	295	1645
152	296	1638
153	296	1630
154	297	1623
155	298	1616
156	299	1608
157	300	1601
158	301	1594
159	302	1587
160	303	1581
161	304	1575
162	305	1568
163	306	1561
164	307	1554
165	308	1548
166	309	1541
167	309	1534
168	310	1528
169	311	1521
170	312	1515
171	313	1509
172	314	1503
173	315	1498
174	316	1492
175	317	1488
176	319	1483
177	319	1477
178	320	1471
179	321	1465
180	322	1460
181	323	1454
182	324	1448
183	325	1442
184	326	1437
185	327	1431
186	328	1426
187	328	1420
188	329	1415
189	330	1410
190	331	1404
191	332	1400
192	333	1396
193	334	1391
194	335	1386
195	336	1381
196	337	1375
197	338	1370
198	339	1365
199	340	1360
200	341	1355
201	341	1350
202	342	1345
203	343	1340
204	344	1336
205	345	1331
206	346	1326
207	347	1322
208	348	1318
209	349	1313
210	350	1309
211	350	1304
212	351	1299
213	352	1295
214	353	1290
215	354	1286
216	355	1282
217	356	1278
218	357	1274
219	358	1270
220	359	1266
221	360	1262
222	361	1258
223	362	1256
224	363	1253
225	364	1249
226	365	1245
227	366	1241
228	367	1237
229	368	1234
230	369	1230
231	370	1226
232	371	1222
233	372	1218
234	373	1214
235	373	1210
236	374	1206
237	375	1202
238	376	1199
239	377	1196
240	378	1192
241	379	1189
242	380	1185
243	381	1181
244	382	1177
245	383	1174
246	384	1171
247	385	1167
248	385	1164
249	386	1160
250	387	1156
251	388	1153
252	389	1150
253	390	1146
254	391	1143
255	392	1140
256	393	1137
257	394	1134
258	395	1131
259	396	1128
260	397	1125
261	398	1122
262	399	1119
263	400	1116
264	401	1112
265	402	1109
266	402	1106
267	403	1102
268	404	1099
269	405	1096
270	406	1094
271	407	1091
272	408	1088
273	409	1085
274	410	1082
275	411	1078
276	412	1076
277	413	1073
278	414	1069
279	414	1067
280	415	1063
281	416	1060
282	417	1057
283	418	1054
284	419	1051
285	420	1048
286	421	1046
287	422	1044
288	423	1041
289	424	1038
290	425	1036
291	426	1033
292	427	1030
293	428	1028
294	429	1025
295	430	1022
296	430	1019
297	431	1017
298	432	1014
299	433	1012
300	434	1009
301	435	1007
302	436	1004
303	437	1002
304	438	999
305	439	997
306	440	994
307	441	992
308	442	989
309	443	987
310	444	984
311	445	981
312	446	978
313	446	976
314	447	973
315	448	971
316	449	968
317	450	966
318	452	964
319	452	962
320	454	960
321	455	958
322	455	955
323	456	953
324	457	951
325	458	948
326	459	946
327	460	943
328	461	941
329	462	938
330	463	936
331	464	934
332	465	932
333	466	931
334	468	929
335	469	927
336	470	924
337	470	922
338	471	920
339	472	917
340	473	915
341	474	913
342	475	910
343	476	908
344	477	906
345	478	904
346	479	901
347	480	899
348	481	897
349	482	895
350	483	893
351	484	891
352	485	889
353	486	887
354	487	885
355	488	883
356	489	880
357	489	878
358	491	876
359	491	874
360	492	872
361	493	870
362	494	868
363	496	866
364	497	864
365	498	863
366	499	861
367	500	859
368	501	857
369	502	855
370	503	853
371	504	850
372	504	848
373	505	846
374	506	844
375	507	842
376	508	840
377	510	839
378	511	838
379	512	836
380	514	835
381	515	833
382	516	832
383	517	830
384	518	828
385	519	826
386	520	824
387	521	822
